	val_loss	duration	params_depth	params_ffn_hidden_dim	params_ffn_layers	params_mp_hidden_dim
0	0.1602	0 days 01:21:19.553900	6	458	5	361
1	0.1613	0 days 00:48:23.896480	10	476	1	123
2	0.1616	0 days 01:19:33.621158	8	420	1	306
3	0.1639	0 days 00:47:34.461971	4	228	5	254
4	0.1643	0 days 00:57:29.838450	7	247	3	220
5	0.1646	0 days 01:43:08.779705	6	473	8	405
6	0.165	0 days 03:17:11.816734	9	101	1	476
7	0.1665	0 days 01:34:49.417390	9	338	4	321
8	0.1668	0 days 00:45:54.772583	10	281	2	131
9	0.1672	0 days 00:59:58.884217	8	149	6	183
10	0.1682	0 days 00:25:07.177972	7	468	6	117
11	0.1701	0 days 00:55:59.132827	11	364	4	155
12	0.1709	0 days 00:27:21.935824	4	500	3	143
13	0.1722	0 days 00:18:22.202992	5	179	3	85
14	0.1725	0 days 00:17:47.336995	3	341	3	146
15	0.1731	0 days 00:27:28.355808	6	292	6	97
16	0.1735	0 days 01:00:22.531681	9	298	2	200
17	0.1761	0 days 00:42:00.741678	11	158	7	78
18	0.1763	0 days 00:27:38.525680	12	388	5	53
19	0.1867	0 days 00:17:11.830191	12	421	8	54
